Source,Target,Relationship
William Paston I,John Stanford,Non-familial
William Paston I,William Worstede,Non-familial
William Paston I,John Longham,Non-familial
William Paston I,Piers Shelton,Non-familial
William Paston I,John Berney,Non-familial
William Paston I,Philip Berney,Non-familial
Agnes Paston,William Paston I,Wife
Agnes Paston,Edmond Paston I,Grandmother
Agnes Paston,John Paston I,Mother
Agnes Paston,John Paston I,Mother
Agnes Paston,John Paston I,Mother
Agnes Paston,John Paston I,Mother
Agnes Paston,John Paston I,Mother
Agnes Paston,John Paston I,Mother
Agnes Paston,John Paston I,Mother
Agnes Paston,John Paston I,Mother
Agnes Paston,John Paston I,Mother
Agnes Paston,John Paston I,Mother
Agnes Paston,John Paston I,Mother
John Paston I,John Damme,Non-familial
John Paston I,James Gresham,Non-familial
John Paston I,John Norwode,Non-familial
John Paston I,The Earl Of Oxford,Non-familial
John Paston I,Sir John Fastolf,Non-familial
John Paston I,Margaret Paston,Husband
John Paston I,Margaret Paston,Husband
John Paston I,Margaret Paston,Husband
John Paston I,Margaret Paston,Husband
John Paston I,John Pampyng,Non-familial
John Paston I,Richard Calle,Father-in-law
John Paston I,John Wykes,Non-familial
John Paston I,Margaret Paston,Husband
John Paston I,Margaret Paston,Husband
John Paston I,John Daubeney,Non-familial
John Paston I,Richard Calle,Father-in-law
John Paston I,Margaret Paston,Husband
John Paston I,John Daubeney,Non-familial
John Paston I,Richard Calle,Father-in-law
John Paston I,Margaret Paston,Husband
John Paston I,Margaret Paston,Husband
John Paston I,James Gresham,Non-familial
John Paston I,Richard Calle,Father-in-law
John Paston I,Margaret Paston,Husband
John Paston I,Margaret Paston,Husband
Edmond Paston,John Paston I,Son
William Paston I,John Paston I,Father
William Paston I,John Paston I,Father
William Paston I,John Paston I,Father
William Paston I,Margaret Paston,Father-in-law
William Paston I,John Paston I,Father
William Paston I,John Paston I,Father
William Paston I,John Paston I,Father
William Paston I,John Paston I,Father
William Paston I,John Paston I,Father
William Paston I,John Paston II,Grandfather
William Paston I,Margaret Paston,Father-in-law
William Paston I,John Paston II,Grandmother
William Paston I,Richard Roos,Non-familial
William Paston I,Richard Roos,Non-familial
William Paston I,John Kyng,Non-familial
Clement Paston,John Paston I,Grandfather
Clement Paston,John Paston I,Grandfather
Clement Paston,John Paston I,Grandfather
Clement Paston,John Paston I,Grandfather
Clement Paston,John Paston I,Grandfather
Clement Paston,John Paston I,Grandfather
Clement Paston,John Paston I,Grandfather
"Elizabeth Poynings or Browne, née Paston",Agnes Paston,Non-familial
"Elizabeth Poynings or Browne, née Paston",John Paston II,Non-familial
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
Margaret Paston,John Paston I,Wife
